ID,Field,First5Years,AppliedforGrants,VR,SSMF,Ragnar,ERC,SwedishFoundation,Formas,Forte,Wallenberg,GotaGrant,SufficientVR,SufficientSMSF,SufficientRagnar,SufficientERC,SufficientSF
684,1,4,1,1,0,0,1,0,0,0,0,1,1,2,2,2,2
685,2,4,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2
686,1,5,1,1,1,0,1,0,0,0,0,0,2,2,2,2,2
690,2,4,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2
692,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
693,3,4,1,0,0,0,1,1,0,0,0,1,2,2,2,2,0
700,3,4,1,1,0,0,1,0,1,0,1,1,0,2,2,1,2
701,3,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
704,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
708,1,4,1,0,0,0,0,0,1,0,0, ,2,2,2,2,2
709,1,2,1,1,1,0,0,0,0,0,0,1,0,1,2,2,2
711,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
712,1,4,1,1,0,0,0,0,0,0,0,1,1,2,2,2,2
713,1,4,1,1,0,0,0,0,1,0,0,0,2,2,2,2,2
714,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,1,1
715,2,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
716,1,2,1,1,0,0,0,1,0,0,0,1,1,2,2,2,1
717,2,2,1,1,0,0,0,1,0,0,0,1,0,2,2,2,2
718,2,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
721,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
728,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
729,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
731,2,2,1,1,0,0,1,0,0,0,0,1,1,2,2,1,2
732,1,5,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2
733,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
735,1,5,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2
736,3,4,1,1,0,0,1,0,0,0,0,1,1,2,2,1,2
737,1,4,1,0,0,0,1,1,0,0,0,1,2,2,2,1,1
739,1,4,1,0,0,0,0,0,0,0,0, ,2,2,2,2,2
740,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,1,2
741,1,4,1,1,0,0,0,0,0,0,0,1,1,2,2,2,2
743,1,5,1,1,0,0,0,0,0,0,0, ,2,2,2,2,2
744,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
745,2,4,1,0,0,0,1,0,0,1,0,1,2,2,2,1,2
746,2,5,1,0,0,0,0,0,0,0,0, ,2,2,2,2,2
749,3,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
751,3,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
752,1,4,1,1,0,0,1,0,0,0,0,1,1,2,2,1,2
754,1,2,1,1,0,0,0,1,1,0,0,0,2,2,2,2,2
757,1,2,1,1,0,0,1,0,0,0,0,1,0,2,2,1,2
758,1,4,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
 , , , , , , , , ,0,0,0,0, , , , , 
