ID,Field,First5Years,AppliedforGrants,VR,SSMF,Ragnar,ERC,SwedishFoundation,Formas,Forte,Wallenberg,GotaGrant,SufficientVR,SufficientSMSF,SufficientRagnar,SufficientERC,SufficientSF
355,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
356,3,4,1,1,0,0,0,0,0,0,0,1,1,2,2,2,2
357,2,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
358,3,4,1,1,0,0,0,1,0,0,0,1,0,2,2,1,1
359,3,4,1,1,0,0,0,1,0,0,0,1,0,2,2,1,2
361,2,4,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
362,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
364,3,4,1,1,0,0,0,1,1,0,0,1,0,2,2,2,2
365,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1
366,3,2,1,1,0,0,1,0,1,0,0,1,0,2,2,1,2
367,1,4,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2
371,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
374,1,2,1,1,1,0,0,0,0,0,0,1,0,0,2,2,2
375,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
378,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,1,2
379,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
380,1,4,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2
383,1,5,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1
384,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1
385,1,2,1,1,1,0,0,1,0,0,0,1,0,0,2,2,0
390,1,2,1,0,1,0,0,0,0,0,0,0,2,2,2,2,2
391,1,2,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2
392,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
395,1,2,1,1,1,1,0,1,0,0,0,1,2,1,2,1,2
397,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
398,2,2,1,1,1,0,1,1,0,1,0,1,1,1,2,1,1
399,1,2,1,1,1,0,1,1,0,0,0,1,1,0,2,1,0
400,1,2,1,1,0,0,1,1,0,0,0,1,0,2,2,1,0
402,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
407,1,4,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1
409,1,4,1,1,1,0,0,0,0,0,0,1,0,0,2,2,2
410,1,4,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0
411,2,2,1,1,1,0,0,0,0,0,0,1,0,0,2,2,2
412,1,4,1,1,0,0,1,0,0,0,0,1,0,2,2,1,2
413,1,5,1,1,0,0,1,1,0,0,1,1,0,2,2,1,1
414,3,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
417,1,4,1,1,0,1,0,0,0,0,0,0,2,2,2,2,2
419,1,4,1,1,0,0,1,0,1,0,1,1,0,2,2,1,2
420,2,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
422,1,4,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
423,1,4,1,1,0,1,1,1,0,0,0,1,0,2,1,1,1
424,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
425,1,4,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2
426,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2
428,1,4,1,1,0,0,0,0,0,0,0,1,1,2,2,2,2
430,1,4,1,0,1,0,0,0,0,0,0,0,2,2,2,2,2
433,1,4,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2
436,1,2,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2
439,1,4,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1
440,1,4,1,1,1,0,0,1,0,0,0,1,1,1,2,1,0
441,1,4,1,1,0,1,0,0,0,0,0,1,1,2,2,2,2
443,1,4,1,1,1,0,0,0,0,0,0,1,0,1,2,2,2
446,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
447,1,4,1,1,1,1,0,0,0,0,0,1,1,1,2,2,2
448,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,2,0
452,1,5,1,1,1,0,0,0,0,0,0, ,2,2,2,2,2
458,1,4,1,0,1,0,0,0,0,0,1,1,1,1,1,2,2
460,1,4,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2
461,1,4,1,1,0,0,0,0,1,0,0,1,1,2,2,1,2
462,2,5,0,0,0,0,0,0,0,0,0, ,2,2,2,2,2
463,1,2,1,1,0,1,1,1,0,0,0,1,0,2,0,1,0
464,1,2,1,0,0,0,0,1,1,1,0, ,2,2,2,2,2
465,1,1,1,1,0,0,0,1,0,0,0,1,0,2,2,2,1
466,1,2,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1
469,1,1,1,1,1,0,0,0,0,1,0,1,0,2,2,2,2
470,1,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1
