,coordinates
225,"[51.528294, -0.08949499999999999]"
226,"[51.5483342, -0.0839554]"
227,"[51.5356783, -0.1089128]"
228,"[51.543568, -0.1109986]"
229,"[51.5462783, -0.08273219999999999]"
230,"[51.5423615, -0.1120558]"
231,"[51.4688804, -0.1049389]"
232,"[51.5386503, -0.0848974]"
233,"[51.5289812, -0.0861252]"
234,"[51.5321446, -0.0949536]"
235,"[51.535625, -0.0887279]"
236,"[51.5321446, -0.0949536]"
237,"[51.536323, -0.0793699]"
238,"[51.5393403, -0.1021969]"
239,"[51.5337081, -0.09334790000000001]"
240,"[51.5490285, -0.0791154]"
241,"[51.5443593, -0.1055427]"
242,"[51.5385115, -0.0856033]"
243,"[51.5492248, -0.08654139999999999]"
244,"[51.5359686, -0.0863326]"
245,"[51.535325, -0.09670609999999999]"
246,"[51.5350214, -0.09556260000000001]"
247,"[51.5353005, -0.09599569999999999]"
248,"[51.5350214, -0.09556260000000001]"
249,"[51.5350214, -0.09556260000000001]"
250,"[51.5350877, -0.1070157]"
251,"[51.5397872, -0.1102262]"
252,"[51.5435999, -0.1100175]"
253,"[51.5387229, -0.0781241]"
254,"[51.5418801, -0.08939609999999999]"
255,"[51.535625, -0.0887279]"
256,"[51.5316312, -0.1137495]"
257,"[51.54170449999999, -0.1121816]"
258,"[51.5317421, -0.1141697]"
259,"[51.5299059, -0.092101]"
260,"[51.5362351, -0.09958870000000002]"
261,"[51.540605, -0.1216006]"
262,"[51.5389574, -0.09005969999999999]"
263,"[51.5402249, -0.09912259999999999]"
264,"[51.54703689999999, -0.0831754]"
265,"[51.5388446, -0.1115894]"
266,"[51.5454275, -0.0893554]"
267,"[51.5361592, -0.0900494]"
268,"[51.5323183, -0.1213315]"
269,"[51.5338236, -0.1055646]"
270,"[51.5366466, -0.0937563]"
271,"[51.54321359999999, -0.08812199999999999]"
272,"[51.5414524, -0.0924811]"
273,"[51.5337492, -0.1208376]"
274,"[51.5399643, -0.1067568]"
275,"[51.5403295, -0.0985897]"
276,"[51.5452661, -0.0985026]"
277,"[51.5473474, -0.09607059999999999]"
278,"[51.550093, -0.08343969999999999]"
279,"[51.5317421, -0.1141697]"
280,"[51.5399089, -0.1133525]"
281,"[51.5341311, -0.1134003]"
282,"[51.54010419999999, -0.099148]"
283,"[51.5319847, -0.1099564]"
284,"[51.54096699999999, -0.0871454]"
285,"[51.5280991, -0.08463]"
286,"[51.5337081, -0.09334790000000001]"
287,"[51.5397675, -0.1048538]"
288,"[51.547075, -0.0963926]"
289,"[51.5390667, -0.1069011]"
290,"[51.5435552, -0.1015933]"
291,"[51.53687439999999, -0.0980177]"
292,"[51.5348008, -0.1204024]"
293,"[51.5396854, -0.08759249999999999]"
294,"[51.5371161, -0.08823919999999999]"
295,"[51.533707, -0.0997907]"
296,"[51.5447612, -0.0866043]"
297,"[51.5345379, -0.0979834]"
298,"[51.5321722, -0.1201815]"
299,"[51.5442501, -0.08928559999999999]"
300,"[51.5407653, -0.0849756]"
301,"[51.5459261, -0.0872396]"
302,"[51.5418074, -0.1206508]"
303,"[51.5388587, -0.1158059]"
304,"[51.5359066, -0.0966124]"
305,"[51.54030179999999, -0.1113245]"
306,"[51.5318034, -0.0997472]"
307,"[51.5430425, -0.1051199]"
308,"[51.53719419999999, -0.0805867]"
309,"[51.5336181, -0.1005872]"
310,"[51.538066, -0.092303]"
311,"[51.538066, -0.092303]"
312,"[51.538066, -0.092303]"
313,"[51.5462015, -0.0876309]"
314,"[51.5309249, -0.08261919999999999]"
315,"[51.535325, -0.09670609999999999]"
316,"[51.5355076, -0.0961419]"
317,"[51.5435331, -0.1122295]"
318,"[51.5316935, -0.0944911]"
319,"[51.5454016, -0.08378290000000001]"
320,"[51.50837199999999, -0.27444]"
321,"[51.5316935, -0.0944911]"
322,"[51.5365648, -0.1106563]"
323,"[51.5316935, -0.0944911]"
